Region,Market,Longitude,Latitude
Arusha,Arusha,36.68808,-3.36968
Bukoba,Bukoba,31.81293,-1.3314
Dar es Salaam,Temeke,39.25672,-6.85097
Dar es Salaam,Kinondoni,39.27007,-6.78407
Dar es Salaam,Ilala,39.26289,-6.82941
Dar es Salaam,Tandika,39.25480306,-6.867911575
Dar es Salaam,Buguruni,39.24359,-6.83838
Dar es Salaam,Tandale,39.24085,-6.79523
Dar es Salaam,Ubungo,39.20966,-6.79362
Dodoma,Majengo,35.74109,-6.17971
Dodoma,Kibaigwa,36.64645,-6.0811
Geita,Geita,32.23408,-2.87076
Iringa,Iringa,35.69671,-7.78001
Kagera,Bukoba,31.81293,-1.3314
Katavi,Mpanda,31.07299,-6.34295
Katavi,Mpimbwe,31.81782,-7.24425
Kigoma,Kigoma,29.65987,-4.89697
Kigoma,Ujiji,29.69203,-4.90837
Kilimanjaro,Moshi,37.34352,-3.34865
Kilimanjaro,Kilimanjaro,37.32654,-3.33854
Lindi,Lindi,39.708,-9.995
Manyara,Babati,35.74915,-4.21006
Manyara,Manyara,37.20217,-4.46011
Mara,Musoma,33.8083,-1.49982
Mara,Mara,33.8083,-1.49982
Mbeya,Mbeya,33.45517,-8.90994
Morogoro,Morogoro,37.66542,-6.82771
Moshi,Moshi,37.34352,-3.34865
Mpanda,Mpanda,31.07299,-6.34295
Mtwara,Mtwara,40.18191,-10.28009
Musoma,Mara,33.8083,-1.49982
Mwanza,Mwanza,32.90144,-2.51969
Njombe,Njombe,34.76949,-9.33805
Pwani,Pwani,38.90622,-6.44221
Rukwa,Sumbawanga,31.62319,-7.95239
Ruvuma,Songea,35.64836,-10.67873
Shinyanga,Shinyanga,33.43069,-3.67226
Simiyu,Bariadi,33.98699,-2.80355
Singida,Singida,34.7428,-4.81261
Songea,Ruvuma,35.64836,-10.67873
Songwe,Songwe,33.24377,-8.95179
Sumbawanga,Sumbawanga,31.62319,-7.95239
Tabora,Tabora,32.80767,-5.01972
Tanga,Tanga,39.09993,-5.07426
Dar es Salaam,Mwananyamala,39.2584,-6.78889
Singida,Namfua,34.74699598,-4.82112067
Arusha,Kilombero,36.6787,-3.37324
Tanga,Mgandini,39.09560968,-5.086234717
Geita,Nyankumbu,32.22870671,-2.895955442
Mbeya,Igawilo,33.56788204,-8.92424551
Pwani,Mnalani,38.90622,-6.44221
Katavi,Majengo,31.07055,-6.34809
